bridge_id,bauwerksart_text,baustoffklasse,laenge,breite,baujahr,traffic_dtv_latest,traffic_dtv_mean,zustandsnote,zustandsnotenklasse,gis_ort,gis_kreis,gis_bundesland,geom_x,geom_y
1325515.C_,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,63.5,23.0,2002,,,2.0,2.0  -  2.4,Kappeln                                           ,Kreis Schleswig-Flensburg                                                       ,SH,1106113.0344000012,7296059.3697
1420500._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,22.46,11.75,1978,,,2.2,2.0  -  2.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1009110.2263999992,7268698.564599998
1420501._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,20.2,4.5,1984,,,2.3,2.0  -  2.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1011709.2709,7265382.063500002
1420502._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,26.89,6.0,1979,,,2.5,2.5  -  2.9,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1011139.4737999998,7266264.027000003
1420503._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,21.07,10.75,1980,,,2.3,2.0  -  2.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1008178.0253,7269970.582199998
1420506._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,10.2,3.0,1989,,,2.0,2.0  -  2.4,Husum                                             ,Kreis Nordfriesland                                                             ,SH,1003040.5218000002,7273775.825999998
1420507._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,17.11,12.75,1989,,,2.3,2.0  -  2.4,Strukum                                           ,Kreis Nordfriesland                                                             ,SH,1001897.9606,7278097.334799997
1828512.A_,Plattenbrücke                                                                   ,Beton/Stahlbeton,10.3,21.25,1974,,,1.1,1.0  -  1.4,Plön                                              ,Kreis Plön                                                                      ,SH,1160867.628800001,7200871.516599998
1420508._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,2.25,12.5,1963,,,1.7,1.5  -  1.9,Viöl                                              ,Kreis Nordfriesland                                                             ,SH,1019719.8645000012,7274914.579300001
1421500._0,Plattenbrücke                                                                   ,Spannbeton,16.8,12.5,1970,,,2.3,2.0  -  2.4,Treia                                             ,Kreis Schleswig-Flensburg                                                       ,SH,1037174.8106000014,7268194.768700004
1421502._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,5.0,14.0,1963,,,2.4,2.0  -  2.4,Viöl                                              ,Kreis Nordfriesland                                                             ,SH,1020547.1649999992,7277734.219499998
1422502._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,3.57,11.5,1964,,,2.1,2.0  -  2.4,Silberstedt                                       ,Kreis Schleswig-Flensburg                                                       ,SH,1044110.2688999996,7268754.1096
1422504._0,Gewölbe-/Bogenbrücke ohne Aufbeton                                              ,Beton/Stahlbeton,29.82,44.78,1976,43063.0,38037.705882352944,2.9,2.5  -  2.9,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1057463.3929999992,7267368.500399999
1422505._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,14.0,29.5,1974,43063.0,38037.705882352944,3.0,3.0  -  3.4,Schuby                                            ,Kreis Schleswig-Flensburg                                                       ,SH,1056798.0894999988,7268917.4021999985
1422506._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,46.0,16.0,1975,43063.0,38037.705882352944,2.5,2.5  -  2.9,Schuby                                            ,Kreis Schleswig-Flensburg                                                       ,SH,1056292.8603999987,7269962.062600002
2425550.R6,Hohlkastenbrücke                                                                ,Spannbeton,120.0,10.0,1974,,,2.8,2.5  -  2.9,Im Zuge A7                                        ,Hamburg                                                                         ,,,
1422507._0,Hohlkastenbrücke                                                                ,Spannbeton,73.9,11.75,1975,41979.0,35894.09523809524,2.5,2.5  -  2.9,Schuby                                            ,Kreis Schleswig-Flensburg                                                       ,SH,1055858.6666,7270631.363600001
1422508._0,Balkenbrücke / Mittelträger / Trapezplatte                                      ,Spannbeton,46.22,6.0,1975,41979.0,35894.09523809524,1.9,1.5  -  1.9,Schuby                                            ,Kreis Schleswig-Flensburg                                                       ,SH,1054846.951200001,7272034.8342999965
1422509._0,Balkenbrücke / Mittelträger / Trapezplatte                                      ,Spannbeton,47.06,6.0,1975,41979.0,35894.09523809524,2.5,2.5  -  2.9,Lürschau                                          ,Kreis Schleswig-Flensburg                                                       ,SH,1053933.3114,7274740.805600002
1422510._0,Plattenbrücke                                                                   ,Spannbeton,46.38,11.75,1977,41979.0,35894.09523809524,2.3,2.0  -  2.4,Arenholz                                          ,Kreis Schleswig-Flensburg                                                       ,SH,1053888.4272000007,7275807.149800003
1422511._0,Balkenbrücke / Mittelträger / Trapezplatte                                      ,Spannbeton,48.4,6.0,1976,41979.0,35894.09523809524,2.0,2.0  -  2.4,Gammellund                                        ,Kreis Schleswig-Flensburg                                                       ,SH,1054112.7212999985,7279281.651100002
1422512._0,Plattenbrücke                                                                   ,Spannbeton,45.85,12.75,1977,41979.0,35894.09523809524,2.5,2.5  -  2.9,Idstedt                                           ,Kreis Schleswig-Flensburg                                                       ,SH,1054062.432500001,7279956.831299998
1425508._0,Plattenbrücke                                                                   ,Spannbeton,26.63,9.5,1972,,,2.2,2.0  -  2.4,Grüntal                                           ,Kreis Rendsburg-Eckernförde                                                     ,SH,1109386.1625999997,7283909.257399999
1422513._0,Balkenbrücke / Mittelträger / Trapezplatte                                      ,Spannbeton,48.4,6.0,1976,41979.0,35894.09523809524,2.4,2.0  -  2.4,Bollingstedt                                      ,Kreis Schleswig-Flensburg                                                       ,SH,1053638.3643000014,7281800.6669000015
1422514._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,18.05,30.8,1976,,,2.3,2.0  -  2.4,Bollingstedt                                      ,Kreis Schleswig-Flensburg                                                       ,SH,1052662.2256000005,7284011.162799999
1423501._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,2.86,27.3,1959,43063.0,38037.705882352944,2.0,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1063418.9521000013,7265834.253399998
1423502._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,150.0,17.2,1961,43063.0,38037.705882352944,2.5,2.5  -  2.9,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1062187.9265,7266787.2136999965
1423503._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,23.28,13.35,1961,43063.0,38037.705882352944,2.8,2.5  -  2.9,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1061812.9879,7266951.213500001
1423504._0,Plattenbrücke                                                                   ,Spannbeton,40.85,25.3,1967,43063.0,38037.705882352944,1.8,1.5  -  1.9,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1061599.2062,7266845.1521999985
1423505._0,"Rohr als Brücke, ohne Ummantelung                                               ",Stahl/Leichtmetall,3.1,41.18,1966,43063.0,38037.705882352944,2.3,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1060710.1182000004,7266957.0088
1423506._0,"Rohr als Brücke, mit Ummantelung                                                ",Stahl/Leichtmetall,3.64,25.91,1997,43063.0,38037.705882352944,2.0,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1060422.875700001,7267055.664399996
1423507._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Stahl/Leichtmetall,375.0,17.5,1967,43063.0,38037.705882352944,3.0,3.0  -  3.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1059889.8509999998,7267355.173600003
1423508._0,Plattenbrücke                                                                   ,Spannbeton,46.24,7.5,1967,43063.0,38037.705882352944,2.3,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1059304.9019000009,7267966.106600001
1423509._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,10.82,17.5,1966,43063.0,38037.705882352944,2.1,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1058863.6523000002,7270633.299099997
1423510._0,Brücke als Schrägstielrahmen                                                    ,Beton/Stahlbeton,28.98,17.5,1966,43063.0,38037.705882352944,2.2,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1058791.241700001,7271158.796599999
1423513._0,Gewölbe-/Bogenbrücke ohne Aufbeton                                              ,Beton/Stahlbeton,4.21,12.6,2014,43063.0,38037.705882352944,2.0,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1065760.6295000017,7265521.709899999
1447501._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,19.5,13.0,1959,,,2.7,2.5  -  2.9,Sassnitz                                          ,Landkreis Vorpommern-Rügen                                                      ,MV,1517376.0659999996,7267718.3807
1423514._0,"Plattenbalkenbrücke, Trägerrostbrücke                                           ",Spannbeton,64.7,13.5,1975,43063.0,38037.705882352944,2.4,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1057925.876800001,7266567.365500003
1423517._0,Brücke als geschlossener Rahmen                                                 ,Beton/Stahlbeton,3.9,12.94,1969,43063.0,38037.705882352944,2.3,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1058398.0757,7271040.102799997
1423518._0,Plattenbrücke                                                                   ,Beton/Stahlbeton,13.67,9.0,1966,43063.0,38037.705882352944,2.2,2.0  -  2.4,Schleswig                                         ,Kreis Schleswig-Flensburg                                                       ,SH,1059413.6009000018,7271301.649899997
